"gene_id","hugo_symbol","entrez_gene_id","mean_classical_expression","mean_proneural_expression","classical_sample_count","proneural_sample_count","log2_fold_change","expression_direction"
"3852","LPAR4","2846","51.46153846","139.27586207","39","29","-1.4189347578987634","Higher in Proneural"
"2123","ENPP2","5168","707.38461538","1891.72413793","39","29","-1.417859370198297","Higher in Proneural"
"5281","PEX5L","51555","59.64102564","160.96551724","39","29","-1.4173206337783297","Higher in Proneural"
"7973","ZFR2","23217","70.02564103","188.68965517","39","29","-1.417229150337607","Higher in Proneural"
"7673","UNC5C","8633","106.10256410","39.10344828","39","29","1.4171948227715137","Higher in Classical"
"2961","HEMGN","55363","2.02564103","7.06896552","39","29","-1.4151428923704537","Higher in Proneural"
"6201","SCG2","7857","13785.66666667","5177.72413793","39","29","1.4126050692829137","Higher in Classical"
"3047","HOXA2","3199","121.00000000","322.96551724","39","29","-1.40895911361122","Higher in Proneural"
"6817","SRCIN1","80725","562.61538462","1491.03448276","39","29","-1.4044979808936824","Higher in Proneural"
"6985","SYT13","57586","229.02564103","607.86206897","39","29","-1.404320750594057","Higher in Proneural"
"1711","DACH2","117154","20.58974359","55.96551724","39","29","-1.3997427720351336","Higher in Proneural"
"6502","SLC28A1","9154","55.71794872","20.55172414","39","29","1.396002066864065","Higher in Classical"
"7156","TGM5","9333","89.10256410","33.24137931","39","29","1.395827344719036","Higher in Classical"
"1732","DCAF4L2","138009","8.30769231","23.48275862","39","29","-1.3952706997324424","Higher in Proneural"
"5606","PRDM13","59336","56.58974359","20.93103448","39","29","1.3928380335693433","Higher in Classical"
"7823","WDR72","256764","13.84615385","4.65517241","39","29","1.392446310977934","Higher in Classical"
"5170","PCDHA8","56140","38.04230769","101.44379310","39","29","-1.3917223419781646","Higher in Proneural"
"7276","TMEM200A","114801","55.51282051","147.27586207","39","29","-1.3916336597220285","Higher in Proneural"
"7882","XKR4","114786","33.15384615","88.48275862","39","29","-1.3895616800585888","Higher in Proneural"
"952","CADM3","57863","2863.37461538","7485.17655172","39","29","-1.386008885843519","Higher in Proneural"
"5426","PLCH2","9651","122.97435897","322.34482759","39","29","-1.3830317667118874","Higher in Proneural"
"2962","HEPACAM2","253012","3.76923077","11.41379310","39","29","-1.3801155083218226","Higher in Proneural"
"6608","SLC9C2","284525","8.56410256","2.68965517","39","29","1.374143610444374","Higher in Classical"
"5921","REPS2","9185","194.66666667","505.37931034","39","29","-1.3718204576586601","Higher in Proneural"
"7136","TFAP2A","7020","261.39358974","677.89655172","39","29","-1.3714592821167355","Higher in Proneural"
"2485","FOXA1","3169","3.76923077","11.24137931","39","29","-1.3599376267450545","Higher in Proneural"
"1229","CELF4","56853","231.10256410","594.10344828","39","29","-1.3583780167936261","Higher in Proneural"
"2622","GBP3","2635","1575.97435897","614.20689655","39","29","1.3580156213183667","Higher in Classical"
"2175","ERBB2","2064","3386.56410256","1321.96551724","39","29","1.3564727880818852","Higher in Classical"
"4650","NPAP1","23742","0.30769231","2.34482759","39","29","-1.3549087230388792","Higher in Proneural"
"1190","CDH8","1006","50.35897436","130.27586207","39","29","-1.3539133724662242","Higher in Proneural"
"175","ADARB2","105","36.51282051","94.68965517","39","29","-1.350979225794151","Higher in Proneural"
"3087","HSD17B6","8630","347.33333333","135.89655172","39","29","1.3473824293742318","Higher in Classical"
"942","CACNA2D2","9254","127.23076923","325.13793103","39","29","-1.3467397604725597","Higher in Proneural"
"1534","CPXM2","119587","51.30769231","131.93103448","39","29","-1.345582931584161","Higher in Proneural"
"3430","KCNH7","90134","19.87179487","52.03448276","39","29","-1.3453760275914028","Higher in Proneural"
"3859","LPIN3","64900","157.10102564","61.55724138","39","29","1.337597926973191","Higher in Classical"
"6174","SAMD9L","219285","2740.43589744","1086.20689655","39","29","1.3343052269323836","Higher in Classical"
"1852","DLC1","10395","2978.46153846","1181.68965517","39","29","1.3329800724380612","Higher in Classical"
"3488","KHDRBS2","202559","7.35897436","20.03448276","39","29","-1.331358501872648","Higher in Proneural"
"4761","NXPH1","30010","829.30769231","2082.68965517","39","29","-1.3274224493812847","Higher in Proneural"
"4348","MUC4","4585","21.48717949","55.37931034","39","29","-1.3260631113724044","Higher in Proneural"
"3461","KCNV1","27012","35.92307692","13.75862069","39","29","1.3229648860396468","Higher in Classical"
"4717","NTN4","59277","220.00000000","549.58620690","39","29","-1.3169220988588017","Higher in Proneural"
"5705","PSPH","5723","5403.95230769","2175.16172414","39","29","1.3124961117072027","Higher in Classical"
"6361","SH3GL2","6456","435.38461538","1082.68965517","39","29","-1.312279513927009","Higher in Proneural"
"2788","GPR174","84636","2.41025641","7.44827586","39","29","-1.3087767269894637","Higher in Proneural"
"3723","LAMB3","3914","416.35897436","167.65517241","39","29","1.307212228724594","Higher in Classical"
"2849","GRIN3A","116443","39.97435897","100.17241379","39","29","-1.3040226865889242","Higher in Proneural"
"5233","PDE2A","5138","475.02564103","1174.37931034","39","29","-1.3040152173379504","Higher in Proneural"
"3759","LCN6","158062","8.29333333","2.76517241","39","29","1.303480226383546","Higher in Classical"
"3311","IRX1","79192","297.15384615","733.55172414","39","29","-1.3008071355853135","Higher in Proneural"
"828","C19orf18","147685","68.46153846","27.20689655","39","29","1.300166421581658","Higher in Classical"
"4202","MME","4311","16.94871795","43.13793103","39","29","-1.2981382065400937","Higher in Proneural"
"5156","PCDH20","64881","98.35897436","242.68965517","39","29","-1.294322822319769","Higher in Proneural"
"5368","PIP4K2C","79837","2394.25641026","5873.34482759","39","29","-1.2942478516535187","Higher in Proneural"
"3177","IGFN1","91156","211.35897436","85.68965517","39","29","1.292573329261837","Higher in Classical"
"4597","NLRP11","204801","9.87179487","25.62068966","39","29","-1.2919578069394972","Higher in Proneural"
"7284","TMEM229A","730130","174.48717949","70.68965517","39","29","1.2915287779683988","Higher in Classical"
"1433","CNTN4","152330","49.53846154","122.55172414","39","29","-1.2896614908812016","Higher in Proneural"
"1313","CHRM2","1129","2.64102564","7.89655172","39","29","-1.288901359389816","Higher in Proneural"
